ID	at.ID	Term	Ontology
GO:0000003	GO:0019952	reproduction	BP
GO:0000003	GO:0050876	reproduction	BP
GO:0000010	GO:0036422	trans-hexaprenyltranstransferase activity	MF
GO:0000022	GO:1905121	mitotic spindle elongation	BP
GO:0000049	GO:0000946	tRNA binding	MF
GO:0000050	GO:0006594	urea cycle	BP
GO:0000050	GO:0006871	urea cycle	BP
GO:0000055	GO:0000057	ribosomal large subunit export from nucleus	BP
GO:0000056	GO:0000058	ribosomal small subunit export from nucleus	BP
GO:0000070	GO:0016359	mitotic sister chromatid segregation	BP
GO:0000073	GO:0030475	initial mitotic spindle pole body separation	BP
GO:0000075	GO:0031576	cell cycle checkpoint signaling	BP
GO:0000075	GO:0071779	cell cycle checkpoint signaling	BP
GO:0000075	GO:0072395	cell cycle checkpoint signaling	BP
GO:0000075	GO:0072404	cell cycle checkpoint signaling	BP
GO:0000075	GO:0072407	cell cycle checkpoint signaling	BP
GO:0000076	GO:0072437	DNA replication checkpoint signaling	BP
GO:0000077	GO:0072422	DNA damage checkpoint signaling	BP
GO:0000095	GO:0015177	S-adenosyl-L-methionine transmembrane transporter activity	MF
GO:0000100	GO:0015178	S-methylmethionine transmembrane transporter activity	MF
GO:0000103	GO:0019378	sulfate assimilation	BP
GO:0000104	GO:0019739	succinate dehydrogenase activity	MF
GO:0000122	GO:0010553	negative regulation of transcription by RNA polymerase II	BP
GO:0000122	GO:0045816	negative regulation of transcription by RNA polymerase II	BP
GO:0000124	GO:0000125	SAGA complex	CC
GO:0000124	GO:0030914	SAGA complex	CC
GO:0000128	GO:0000501	flocculation	BP
GO:0000128	GO:0032128	flocculation	BP
GO:0000128	GO:0036281	flocculation	BP
GO:0000128	GO:0036282	flocculation	BP
GO:0000128	GO:0043689	flocculation	BP
GO:0000128	GO:0043690	flocculation	BP
GO:0000132	GO:0030607	establishment of mitotic spindle orientation	BP
GO:0000132	GO:0030609	establishment of mitotic spindle orientation	BP
GO:0000146	GO:0030898	microfilament motor activity	MF
GO:0000154	GO:0016548	rRNA modification	BP
GO:0000162	GO:0009096	tryptophan biosynthetic process	BP
GO:0000165	GO:0007255	MAPK cascade	BP
