ID	Relation	Parent	Term	Ontology	Parent.Term
GO:0000015	part of	GO:0005829	phosphopyruvate hydratase complex	CC	cytosol
GO:0000015	isa	GO:1902494	phosphopyruvate hydratase complex	CC	catalytic complex
GO:0000109	isa	GO:0140513	nucleotide-excision repair complex	CC	nuclear protein-containing complex
GO:0000110	isa	GO:0000109	nucleotide-excision repair factor 1 complex	CC	nucleotide-excision repair complex
GO:0000111	isa	GO:0000109	nucleotide-excision repair factor 2 complex	CC	nucleotide-excision repair complex
GO:0000112	isa	GO:0000109	nucleotide-excision repair factor 3 complex	CC	nucleotide-excision repair complex
GO:0000113	isa	GO:0000109	nucleotide-excision repair factor 4 complex	CC	nucleotide-excision repair complex
GO:0000118	part of	GO:0005654	histone deacetylase complex	CC	nucleoplasm
GO:0000118	isa	GO:0140513	histone deacetylase complex	CC	nuclear protein-containing complex
GO:0000118	isa	GO:1902494	histone deacetylase complex	CC	catalytic complex
GO:0000120	isa	GO:0005667	RNA polymerase I transcription regulator complex	CC	transcription regulator complex
GO:0000120	part of	GO:0005730	RNA polymerase I transcription regulator complex	CC	nucleolus
GO:0000120	isa	GO:0140513	RNA polymerase I transcription regulator complex	CC	nuclear protein-containing complex
GO:0000123	part of	GO:0000785	histone acetyltransferase complex	CC	chromatin
GO:0000123	isa	GO:0031248	histone acetyltransferase complex	CC	protein acetyltransferase complex
GO:0000124	isa	GO:0070461	SAGA complex	CC	SAGA-type complex
GO:0000124	isa	GO:1905368	SAGA complex	CC	peptidase complex
GO:0000126	isa	GO:0090576	transcription factor TFIIIB complex	CC	RNA polymerase III transcription regulator complex
GO:0000127	isa	GO:0090576	transcription factor TFIIIC complex	CC	RNA polymerase III transcription regulator complex
GO:0000131	isa	GO:0140535	incipient cellular bud site	CC	intracellular protein-containing complex
GO:0000133	part of	GO:0005938	polarisome	CC	cell cortex
GO:0000133	part of	GO:0030427	polarisome	CC	site of polarized growth
GO:0000133	isa	GO:0032991	polarisome	CC	protein-containing complex
GO:0000136	part of	GO:0000137	mannan polymerase complex	CC	Golgi cis cisterna
GO:0000136	part of	GO:0000139	mannan polymerase complex	CC	Golgi membrane
GO:0000136	isa	GO:0031501	mannan polymerase complex	CC	mannosyltransferase complex
GO:0000136	isa	GO:0098796	mannan polymerase complex	CC	membrane protein complex
GO:0000137	isa	GO:0031985	Golgi cis cisterna	CC	Golgi cisterna
GO:0000138	isa	GO:0031985	Golgi trans cisterna	CC	Golgi cisterna
GO:0000139	part of	GO:0005794	Golgi membrane	CC	Golgi apparatus
GO:0000139	isa	GO:0098588	Golgi membrane	CC	bounding membrane of organelle
GO:0000142	part of	GO:0005935	cellular bud neck contractile ring	CC	cellular bud neck
GO:0000142	isa	GO:0110085	cellular bud neck contractile ring	CC	mitotic actomyosin contractile ring
GO:0000144	isa	GO:0000399	cellular bud neck septin ring	CC	cellular bud neck septin structure
GO:0000144	isa	GO:0005940	cellular bud neck septin ring	CC	septin ring
GO:0000144	isa	GO:0032161	cellular bud neck septin ring	CC	cleavage apparatus septin structure
GO:0000145	part of	GO:0005938	exocyst	CC	cell cortex
GO:0000145	isa	GO:0099023	exocyst	CC	vesicle tethering complex
GO:0000148	isa	GO:0098797	1,3-beta-D-glucan synthase complex	CC	plasma membrane protein complex
GO:0000148	isa	GO:1990234	1,3-beta-D-glucan synthase complex	CC	transferase complex
GO:0000151	isa	GO:0140535	ubiquitin ligase complex	CC	intracellular protein-containing complex
GO:0000151	isa	GO:1990234	ubiquitin ligase complex	CC	transferase complex
GO:0000152	isa	GO:0000151	nuclear ubiquitin ligase complex	CC	ubiquitin ligase complex
GO:0000152	isa	GO:0140513	nuclear ubiquitin ligase complex	CC	nuclear protein-containing complex
GO:0000153	isa	GO:0000151	cytoplasmic ubiquitin ligase complex	CC	ubiquitin ligase complex
GO:0000153	part of	GO:0005737	cytoplasmic ubiquitin ligase complex	CC	cytoplasm
GO:0000159	isa	GO:0008287	protein phosphatase type 2A complex	CC	protein serine/threonine phosphatase complex
GO:0000164	part of	GO:0005737	protein phosphatase type 1 complex	CC	cytoplasm
GO:0000164	isa	GO:0008287	protein phosphatase type 1 complex	CC	protein serine/threonine phosphatase complex
GO:0000172	isa	GO:0005732	ribonuclease MRP complex	CC	sno(s)RNA-containing ribonucleoprotein complex
GO:0000172	isa	GO:1902555	ribonuclease MRP complex	CC	endoribonuclease complex
GO:0000176	isa	GO:0000178	nuclear exosome (RNase complex)	CC	exosome (RNase complex)
GO:0000176	part of	GO:0031981	nuclear exosome (RNase complex)	CC	nuclear lumen
GO:0000176	isa	GO:0140513	nuclear exosome (RNase complex)	CC	nuclear protein-containing complex
GO:0000177	isa	GO:0000178	cytoplasmic exosome (RNase complex)	CC	exosome (RNase complex)
GO:0000177	part of	GO:0005737	cytoplasmic exosome (RNase complex)	CC	cytoplasm
GO:0000178	part of	GO:0005622	exosome (RNase complex)	CC	intracellular anatomical structure
GO:0000178	isa	GO:1905354	exosome (RNase complex)	CC	exoribonuclease complex
GO:0000214	isa	GO:0140513	tRNA-intron endonuclease complex	CC	nuclear protein-containing complex
GO:0000214	isa	GO:1902555	tRNA-intron endonuclease complex	CC	endoribonuclease complex
GO:0000220	part of	GO:0016471	vacuolar proton-transporting V-type ATPase, V0 domain	CC	vacuolar proton-transporting V-type ATPase complex
GO:0000220	isa	GO:0033179	vacuolar proton-transporting V-type ATPase, V0 domain	CC	proton-transporting V-type ATPase, V0 domain
GO:0000221	part of	GO:0016471	vacuolar proton-transporting V-type ATPase, V1 domain	CC	vacuolar proton-transporting V-type ATPase complex
GO:0000221	isa	GO:0033180	vacuolar proton-transporting V-type ATPase, V1 domain	CC	proton-transporting V-type ATPase, V1 domain
GO:0000222	isa	GO:0033179	plasma membrane proton-transporting V-type ATPase, V0 domain	CC	proton-transporting V-type ATPase, V0 domain
GO:0000222	part of	GO:0033181	plasma membrane proton-transporting V-type ATPase, V0 domain	CC	plasma membrane proton-transporting V-type ATPase complex
GO:0000222	isa	GO:0098797	plasma membrane proton-transporting V-type ATPase, V0 domain	CC	plasma membrane protein complex
GO:0000223	isa	GO:0033180	plasma membrane proton-transporting V-type ATPase, V1 domain	CC	proton-transporting V-type ATPase, V1 domain
GO:0000223	part of	GO:0033181	plasma membrane proton-transporting V-type ATPase, V1 domain	CC	plasma membrane proton-transporting V-type ATPase complex
GO:0000223	isa	GO:0098797	plasma membrane proton-transporting V-type ATPase, V1 domain	CC	plasma membrane protein complex
GO:0000228	isa	GO:0005694	nuclear chromosome	CC	chromosome
GO:0000228	part of	GO:0031981	nuclear chromosome	CC	nuclear lumen
GO:0000235	part of	GO:0005818	astral microtubule	CC	aster
GO:0000235	isa	GO:0005876	astral microtubule	CC	spindle microtubule
GO:0000235	isa	GO:0005881	astral microtubule	CC	cytoplasmic microtubule
GO:0000242	part of	GO:0005813	pericentriolar material	CC	centrosome
GO:0000242	isa	GO:0110165	pericentriolar material	CC	cellular anatomical entity
GO:0000243	isa	GO:0005684	commitment complex	CC	U2-type spliceosomal complex
GO:0000262	isa	GO:0005694	mitochondrial chromosome	CC	chromosome
GO:0000262	part of	GO:0042645	mitochondrial chromosome	CC	mitochondrial nucleoid
GO:0000274	part of	GO:0000276	mitochondrial proton-transporting ATP synthase, stator stalk	CC	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000274	isa	GO:0045265	mitochondrial proton-transporting ATP synthase, stator stalk	CC	proton-transporting ATP synthase, stator stalk
GO:0000274	isa	GO:0098800	mitochondrial proton-transporting ATP synthase, stator stalk	CC	inner mitochondrial membrane protein complex
GO:0000275	part of	GO:0005753	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	CC	mitochondrial proton-transporting ATP synthase complex
GO:0000275	isa	GO:0045261	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	CC	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000275	isa	GO:0098800	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)	CC	inner mitochondrial membrane protein complex
GO:0000276	part of	GO:0005753	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	CC	mitochondrial proton-transporting ATP synthase complex
GO:0000276	isa	GO:0045263	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	CC	proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000276	isa	GO:0098800	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	CC	inner mitochondrial membrane protein complex
GO:0000307	isa	GO:1902554	cyclin-dependent protein kinase holoenzyme complex	CC	serine/threonine protein kinase complex
GO:0000308	isa	GO:0000307	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	CC	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	part of	GO:0005737	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	CC	cytoplasm
GO:0000311	isa	GO:0000315	plastid large ribosomal subunit	CC	organellar large ribosomal subunit
GO:0000311	part of	GO:0009547	plastid large ribosomal subunit	CC	plastid ribosome
GO:0000312	isa	GO:0000314	plastid small ribosomal subunit	CC	organellar small ribosomal subunit
GO:0000312	part of	GO:0009547	plastid small ribosomal subunit	CC	plastid ribosome
GO:0000313	isa	GO:0005840	organellar ribosome	CC	ribosome
GO:0000313	part of	GO:0043226	organellar ribosome	CC	organelle
GO:0000314	part of	GO:0000313	organellar small ribosomal subunit	CC	organellar ribosome
GO:0000314	isa	GO:0015935	organellar small ribosomal subunit	CC	small ribosomal subunit
GO:0000315	part of	GO:0000313	organellar large ribosomal subunit	CC	organellar ribosome
GO:0000315	isa	GO:0015934	organellar large ribosomal subunit	CC	large ribosomal subunit
GO:0000322	isa	GO:0005773	storage vacuole	CC	vacuole
GO:0000323	isa	GO:0005773	lytic vacuole	CC	vacuole
GO:0000324	isa	GO:0000322	fungal-type vacuole	CC	storage vacuole
GO:0000324	isa	GO:0000323	fungal-type vacuole	CC	lytic vacuole
GO:0000325	isa	GO:0005773	plant-type vacuole	CC	vacuole
GO:0000326	isa	GO:0000322	protein storage vacuole	CC	storage vacuole
GO:0000326	isa	GO:0000325	protein storage vacuole	CC	plant-type vacuole
GO:0000327	isa	GO:0000323	lytic vacuole within protein storage vacuole	CC	lytic vacuole
GO:0000327	part of	GO:0000326	lytic vacuole within protein storage vacuole	CC	protein storage vacuole
GO:0000328	part of	GO:0000324	fungal-type vacuole lumen	CC	fungal-type vacuole
GO:0000328	isa	GO:0005775	fungal-type vacuole lumen	CC	vacuolar lumen
GO:0000329	part of	GO:0000324	fungal-type vacuole membrane	CC	fungal-type vacuole
GO:0000329	isa	GO:0098852	fungal-type vacuole membrane	CC	lytic vacuole membrane
GO:0000330	part of	GO:0000325	plant-type vacuole lumen	CC	plant-type vacuole
GO:0000330	isa	GO:0005775	plant-type vacuole lumen	CC	vacuolar lumen
GO:0000331	isa	GO:0005773	contractile vacuole	CC	vacuole
GO:0000331	isa	GO:0031410	contractile vacuole	CC	cytoplasmic vesicle
GO:0000331	part of	GO:0062159	contractile vacuole	CC	contractile vacuole complex
GO:0000333	isa	GO:0005697	telomerase catalytic core complex	CC	telomerase holoenzyme complex
GO:0000333	isa	GO:0061695	telomerase catalytic core complex	CC	transferase complex, transferring phosphorus-containing groups
GO:0000343	isa	GO:0000427	plastid-encoded plastid RNA polymerase complex A	CC	plastid-encoded plastid RNA polymerase complex
GO:0000344	isa	GO:0000427	plastid-encoded plastid RNA polymerase complex B	CC	plastid-encoded plastid RNA polymerase complex
GO:0000345	isa	GO:0000428	cytosolic DNA-directed RNA polymerase complex	CC	DNA-directed RNA polymerase complex
GO:0000345	part of	GO:0005829	cytosolic DNA-directed RNA polymerase complex	CC	cytosol
GO:0000346	isa	GO:0140513	transcription export complex	CC	nuclear protein-containing complex
GO:0000347	isa	GO:0140513	THO complex	CC	nuclear protein-containing complex
GO:0000399	part of	GO:0005935	cellular bud neck septin structure	CC	cellular bud neck
GO:0000399	part of	GO:0032153	cellular bud neck septin structure	CC	cell division site
GO:0000399	isa	GO:0110165	cellular bud neck septin structure	CC	cellular anatomical entity
GO:0000407	part of	GO:0005737	phagophore assembly site	CC	cytoplasm
GO:0000407	isa	GO:0110165	phagophore assembly site	CC	cellular anatomical entity
GO:0000408	isa	GO:0032991	EKC/KEOPS complex	CC	protein-containing complex
GO:0000417	isa	GO:0032991	HIR complex	CC	protein-containing complex
GO:0000418	isa	GO:0055029	RNA polymerase IV complex	CC	nuclear DNA-directed RNA polymerase complex
GO:0000419	isa	GO:0055029	RNA polymerase V complex	CC	nuclear DNA-directed RNA polymerase complex
GO:0000421	isa	GO:0005774	autophagosome membrane	CC	vacuolar membrane
GO:0000421	part of	GO:0005776	autophagosome membrane	CC	autophagosome
GO:0000427	isa	GO:0000428	plastid-encoded plastid RNA polymerase complex	CC	DNA-directed RNA polymerase complex
GO:0000427	part of	GO:0009536	plastid-encoded plastid RNA polymerase complex	CC	plastid
GO:0000428	isa	GO:0030880	DNA-directed RNA polymerase complex	CC	RNA polymerase complex
GO:0000438	isa	GO:0000439	core TFIIH complex portion of holo TFIIH complex	CC	transcription factor TFIIH core complex
GO:0000438	part of	GO:0005675	core TFIIH complex portion of holo TFIIH complex	CC	transcription factor TFIIH holo complex
GO:0000439	isa	GO:0090575	transcription factor TFIIH core complex	CC	RNA polymerase II transcription regulator complex
GO:0000440	part of	GO:0000112	core TFIIH complex portion of NEF3 complex	CC	nucleotide-excision repair factor 3 complex
GO:0000440	isa	GO:0000439	core TFIIH complex portion of NEF3 complex	CC	transcription factor TFIIH core complex
GO:0000444	isa	GO:0000940	MIS12/MIND type complex	CC	outer kinetochore
GO:0000445	part of	GO:0000346	THO complex part of transcription export complex	CC	transcription export complex
GO:0000445	isa	GO:0000347	THO complex part of transcription export complex	CC	THO complex
GO:0000446	isa	GO:0000347	nucleoplasmic THO complex	CC	THO complex
GO:0000446	isa	GO:0008023	nucleoplasmic THO complex	CC	transcription elongation factor complex
GO:0000500	isa	GO:0000120	RNA polymerase I upstream activating factor complex	CC	RNA polymerase I transcription regulator complex
GO:0000502	isa	GO:0140535	proteasome complex	CC	intracellular protein-containing complex
GO:0000502	isa	GO:1905369	proteasome complex	CC	endopeptidase complex
GO:0000506	part of	GO:0005789	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	CC	endoplasmic reticulum membrane
GO:0000506	isa	GO:0098796	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	CC	membrane protein complex
GO:0000506	isa	GO:0140534	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	CC	endoplasmic reticulum protein-containing complex
GO:0000506	isa	GO:1990234	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	CC	transferase complex
GO:0000775	isa	GO:0098687	chromosome, centromeric region	CC	chromosomal region
GO:0000776	part of	GO:0000779	kinetochore	CC	condensed chromosome, centromeric region
GO:0000776	isa	GO:0043232	kinetochore	CC	intracellular non-membrane-bounded organelle
GO:0000776	isa	GO:0099080	kinetochore	CC	supramolecular complex
GO:0000779	isa	GO:0000775	condensed chromosome, centromeric region	CC	chromosome, centromeric region
GO:0000779	part of	GO:0000793	condensed chromosome, centromeric region	CC	condensed chromosome
GO:0000781	isa	GO:0098687	chromosome, telomeric region	CC	chromosomal region
GO:0000782	isa	GO:0032993	telomere cap complex	CC	protein-DNA complex
GO:0000782	part of	GO:0140445	telomere cap complex	CC	chromosome, telomeric repeat region
GO:0000783	isa	GO:0000782	nuclear telomere cap complex	CC	telomere cap complex
GO:0000783	isa	GO:0140513	nuclear telomere cap complex	CC	nuclear protein-containing complex
GO:0000785	part of	GO:0005694	chromatin	CC	chromosome
GO:0000785	isa	GO:0032993	chromatin	CC	protein-DNA complex
GO:0000786	part of	GO:0000785	nucleosome	CC	chromatin
GO:0000786	isa	GO:0032993	nucleosome	CC	protein-DNA complex
GO:0000791	isa	GO:0000785	euchromatin	CC	chromatin
GO:0000792	isa	GO:0000785	heterochromatin	CC	chromatin
GO:0000793	isa	GO:0005694	condensed chromosome	CC	chromosome
GO:0000794	isa	GO:0000228	condensed nuclear chromosome	CC	nuclear chromosome
GO:0000794	isa	GO:0000793	condensed nuclear chromosome	CC	condensed chromosome
GO:0000795	isa	GO:0099086	synaptonemal complex	CC	synaptonemal structure
GO:0000796	part of	GO:0005694	condensin complex	CC	chromosome
GO:0000796	isa	GO:0032991	condensin complex	CC	protein-containing complex
GO:0000800	part of	GO:0000795	lateral element	CC	synaptonemal complex
GO:0000800	isa	GO:0110165	lateral element	CC	cellular anatomical entity
GO:0000801	part of	GO:0000795	central element	CC	synaptonemal complex
GO:0000801	isa	GO:0110165	central element	CC	cellular anatomical entity
GO:0000802	part of	GO:0000795	transverse filament	CC	synaptonemal complex
GO:0000802	isa	GO:0110165	transverse filament	CC	cellular anatomical entity
GO:0000803	isa	GO:0005694	sex chromosome	CC	chromosome
GO:0000804	isa	GO:0000803	W chromosome	CC	sex chromosome
GO:0000805	isa	GO:0000803	X chromosome	CC	sex chromosome
GO:0000806	isa	GO:0000803	Y chromosome	CC	sex chromosome
