ID	Relation	Parent	Term	Ontology	Parent.Term
GO:0000006	isa	GO:0005385	high-affinity zinc transmembrane transporter activity	MF	zinc ion transmembrane transporter activity
GO:0000007	isa	GO:0005385	low-affinity zinc ion transmembrane transporter activity	MF	zinc ion transmembrane transporter activity
GO:0000009	isa	GO:0000030	alpha-1,6-mannosyltransferase activity	MF	mannosyltransferase activity
GO:0000010	isa	GO:0004659	trans-hexaprenyltranstransferase activity	MF	prenyltransferase activity
GO:0000014	isa	GO:0004520	single-stranded DNA endodeoxyribonuclease activity	MF	DNA endonuclease activity
GO:0000016	isa	GO:0004553	lactase activity	MF	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0000026	isa	GO:0000030	alpha-1,2-mannosyltransferase activity	MF	mannosyltransferase activity
GO:0000030	isa	GO:0016758	mannosyltransferase activity	MF	hexosyltransferase activity
GO:0000031	isa	GO:0016758	mannosylphosphate transferase activity	MF	hexosyltransferase activity
GO:0000033	isa	GO:0000030	alpha-1,3-mannosyltransferase activity	MF	mannosyltransferase activity
GO:0000034	isa	GO:0016814	adenine deaminase activity	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
GO:0000034	isa	GO:0019239	adenine deaminase activity	MF	deaminase activity
GO:0000035	isa	GO:0036094	acyl binding	MF	small molecule binding
GO:0000036	isa	GO:0044620	acyl carrier activity	MF	ACP phosphopantetheine attachment site binding
GO:0000036	isa	GO:0140414	acyl carrier activity	MF	phosphopantetheine-dependent carrier activity
GO:0000048	isa	GO:0016755	peptidyltransferase activity	MF	aminoacyltransferase activity
GO:0000048	isa	GO:0140096	peptidyltransferase activity	MF	catalytic activity, acting on a protein
GO:0000048	isa	GO:0140101	peptidyltransferase activity	MF	catalytic activity, acting on a tRNA
GO:0000049	isa	GO:0003723	tRNA binding	MF	RNA binding
GO:0000062	isa	GO:0120227	fatty-acyl-CoA binding	MF	acyl-CoA binding
GO:0000062	isa	GO:1901567	fatty-acyl-CoA binding	MF	fatty acid derivative binding
GO:0000064	isa	GO:0015179	L-ornithine transmembrane transporter activity	MF	L-amino acid transmembrane transporter activity
GO:0000095	isa	GO:0015101	S-adenosyl-L-methionine transmembrane transporter activity	MF	organic cation transmembrane transporter activity
GO:0000095	isa	GO:1901682	S-adenosyl-L-methionine transmembrane transporter activity	MF	sulfur compound transmembrane transporter activity
GO:0000099	isa	GO:0015171	sulfur amino acid transmembrane transporter activity	MF	amino acid transmembrane transporter activity
GO:0000099	isa	GO:1901682	sulfur amino acid transmembrane transporter activity	MF	sulfur compound transmembrane transporter activity
GO:0000100	isa	GO:0072349	S-methylmethionine transmembrane transporter activity	MF	modified amino acid transmembrane transporter activity
GO:0000100	isa	GO:1901682	S-methylmethionine transmembrane transporter activity	MF	sulfur compound transmembrane transporter activity
GO:0000102	isa	GO:0005294	L-methionine secondary active transmembrane transporter activity	MF	neutral L-amino acid secondary active transmembrane transporter activity
GO:0000102	isa	GO:0015191	L-methionine secondary active transmembrane transporter activity	MF	L-methionine transmembrane transporter activity
GO:0000102	isa	GO:1901680	L-methionine secondary active transmembrane transporter activity	MF	sulfur-containing amino acid secondary active transmembrane transporter activity
GO:0000104	isa	GO:0016627	succinate dehydrogenase activity	MF	oxidoreductase activity, acting on the CH-CH group of donors
GO:0000107	isa	GO:0016763	imidazoleglycerol-phosphate synthase activity	MF	pentosyltransferase activity
GO:0000121	isa	GO:0016791	glycerol-1-phosphatase activity	MF	phosphatase activity
GO:0000140	isa	GO:0016616	acylglycerone-phosphate reductase activity	MF	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0000146	isa	GO:0003774	microfilament motor activity	MF	cytoskeletal motor activity
GO:0000146	isa	GO:0140657	microfilament motor activity	MF	ATP-dependent activity
GO:0000149	isa	GO:0005515	SNARE binding	MF	protein binding
GO:0000150	isa	GO:0140097	DNA strand exchange activity	MF	catalytic activity, acting on DNA
GO:0000155	isa	GO:0004673	phosphorelay sensor kinase activity	MF	protein histidine kinase activity
GO:0000155	isa	GO:0140299	phosphorelay sensor kinase activity	MF	small molecule sensor activity
GO:0000156	isa	GO:0060089	phosphorelay response regulator activity	MF	molecular transducer activity
GO:0000166	isa	GO:1901265	nucleotide binding	MF	nucleoside phosphate binding
GO:0000166	isa	GO:1901363	nucleotide binding	MF	heterocyclic compound binding
GO:0000170	isa	GO:0016491	sphingosine hydroxylase activity	MF	oxidoreductase activity
GO:0000171	isa	GO:0004521	ribonuclease MRP activity	MF	RNA endonuclease activity
GO:0000175	isa	GO:0008408	3'-5'-RNA exonuclease activity	MF	3'-5' exonuclease activity
GO:0000175	isa	GO:0016896	3'-5'-RNA exonuclease activity	MF	RNA exonuclease activity, producing 5'-phosphomonoesters
